Date,Origin,Residence permit,Male,Female
1998-12-31,Europe,Right of resid. acc.to EU Law on Freedom of Movem.,1043027,831625
1998-12-31,Europe,Exempted from requirem. to have a residence title,44693,35154
1998-12-31,Europe,Unlimited settlement permit,985205,849008
1998-12-31,Europe,Temporary residence permit,702740,683003
1998-12-31,Europe,"Temp.resid.permit f.special reasons,national visas",702740,683003
1998-12-31,Europe,Application for residence title filed,219,266
1998-12-31,Europe,Temporary suspension of deportation,113952,91338
1998-12-31,Europe,Permission to reside,80729,48465
1998-12-31,Europe,"No res.title, temp.susp. of dep. or perm.to reside",263961,165173
1998-12-31,Africa,Right of resid. acc.to EU Law on Freedom of Movem.,1810,963
1998-12-31,Africa,Exempted from requirem. to have a residence title,2223,1836
1998-12-31,Africa,Unlimited settlement permit,53711,27920
1998-12-31,Africa,Temporary residence permit,67094,43309
1998-12-31,Africa,"Temp.resid.permit f.special reasons,national visas",67094,43309
1998-12-31,Africa,Application for residence title filed,55,24
1998-12-31,Africa,Temporary suspension of deportation,11691,3952
1998-12-31,Africa,Permission to reside,20674,8346
1998-12-31,Africa,"No res.title, temp.susp. of dep. or perm.to reside",43818,15667
1998-12-31,America,Right of resid. acc.to EU Law on Freedom of Movem.,1694,2703
1998-12-31,America,Exempted from requirem. to have a residence title,2111,1178
1998-12-31,America,Unlimited settlement permit,36354,38197
1998-12-31,America,Temporary residence permit,42201,45878
1998-12-31,America,"Temp.resid.permit f.special reasons,national visas",42201,45878
1998-12-31,America,Application for residence title filed,66,53
1998-12-31,America,Temporary suspension of deportation,158,210
1998-12-31,America,Permission to reside,249,174
1998-12-31,America,"No res.title, temp.susp. of dep. or perm.to reside",14578,13452
1998-12-31,Asia,Right of resid. acc.to EU Law on Freedom of Movem.,1791,1736
1998-12-31,Asia,Exempted from requirem. to have a residence title,478,494
1998-12-31,Asia,Unlimited settlement permit,120305,101894
1998-12-31,Asia,Temporary residence permit,165741,156378
1998-12-31,Asia,"Temp.resid.permit f.special reasons,national visas",165741,156378
1998-12-31,Asia,Application for residence title filed,84,93
1998-12-31,Asia,Temporary suspension of deportation,26999,16086
1998-12-31,Asia,Permission to reside,49247,26981
1998-12-31,Asia,"No res.title, temp.susp. of dep. or perm.to reside",79439,48098
1998-12-31,Australia and Oceania,Right of resid. acc.to EU Law on Freedom of Movem.,120,159
1998-12-31,Australia and Oceania,Exempted from requirem. to have a residence title,29,21
1998-12-31,Australia and Oceania,Unlimited settlement permit,1533,1674
