service_id,exception_type,date
10,1,20251002
10,1,20251003
10,1,20251012
10,1,20251013
10,1,20251014
1000,1,20250920
1000,1,20251003
1000,1,20251008
1000,1,20251012
1001,1,20250925
1001,1,20250929
1001,1,20250930
1001,1,20251003
1005,1,20250927
1005,1,20251006
1005,2,20251005
1006,2,20250929
1006,2,20250930
1006,2,20251001
1006,2,20251002
1006,2,20251003
1007,1,20250927
1007,1,20251011
1010,2,20251003
1011,1,20251014
1012,1,20250927
1012,1,20251011
1012,1,20251012
1012,1,20251013
1012,1,20251014
1012,2,20250917
1013,1,20250927
1013,1,20251011
1013,2,20250921
1013,2,20250922
1013,2,20250923
1013,2,20250924
1013,2,20250925
1013,2,20250926
1013,2,20251005
1016,2,20250919
1017,1,20250920
1017,1,20251006
1017,1,20251007
1017,1,20251008
1017,1,20251013
1017,1,20251014
1018,1,20251014
1019,1,20250919
1019,2,20250922
1019,2,20250923
1019,2,20250924
1019,2,20250925
102,1,20250928
102,1,20251006
102,1,20251007
102,2,20251003
102,2,20251004
1024,1,20250920
1024,1,20251011
1024,1,20251012
1025,1,20251003
1026,2,20250927
1026,2,20250928
1026,2,20251003
1027,2,20250921
1027,2,20251003
1027,2,20251004
1027,2,20251005
1028,1,20251014
1029,2,20251003
1029,2,20251005
1032,1,20250920
1032,1,20250928
1032,1,20251011
1032,2,20250926
1034,1,20250926
1035,1,20251003
1035,2,20251004
104,1,20250919
104,1,20251010
104,2,20250922
104,2,20250923
104,2,20250924
104,2,20250925
1043,2,20250920
1043,2,20250921
1043,2,20250922
1043,2,20250923
1043,2,20250924
1043,2,20250925
1044,1,20251003
1046,1,20250920
1046,1,20251006
1046,1,20251013
1046,1,20251014
1047,1,20251003
1047,2,20251004
1047,2,20251005
1048,1,20251009
1048,2,20251001
1048,2,20251012
1049,2,20250919
1049,2,20250922
1049,2,20250923
1049,2,20250924
1049,2,20250925
105,2,20250925
1050,1,20251005
1051,1,20251008
1052,1,20251002
1056,1,20251002
1059,1,20251011
1060,1,20251011
1063,1,20250914
1063,1,20251012
1063,2,20250929
1063,2,20250930
1063,2,20251001
1063,2,20251002
1063,2,20251003
1064,1,20250919
