route_long_name,route_short_name,agency_id,route_type,route_id
,EC,13,2,93
,EC,14,2,56
,EC,3,2,29
,EC,6,2,16
,EC,7,2,53
,EC,9,2,62
,EC 27,12,2,22
,EC 27,14,2,51
,EC 43,12,2,87
,EC 43,3,2,74
,EC 62,12,2,23
,EC 62,9,2,43
,EC 75,12,2,21
,EC 85,11,2,82
,EC 85,12,2,69
,EC 89,12,2,57
,EC 95,10,2,75
,EC 95,12,2,24
,EC 96,10,2,76
,EC 96,12,2,37
,ECE 85,12,2,32
,ECE 88,12,2,86
,EN,10,2,68
,EN,14,2,88
,EN,7,2,8
,EN,8,2,25
,EN,9,2,33
,IC,1,2,1
,IC,10,2,99
,IC,13,2,63
,IC,2,2,26
,IC,3,2,9
,IC,4,2,41
,IC,9,2,89
,IC 17,12,2,27
,IC 18,12,2,28
,IC 24,12,2,94
,IC 26,12,2,58
,IC 27,12,2,31
,IC 34,12,2,77
,IC 35,12,2,44
,IC 39,12,2,10
,IC 50,12,2,17
,IC 51,12,2,95
,IC 55,12,2,64
,IC 56,12,2,96
,IC 57,12,2,54
,IC 6,3,2,45
,IC 61,12,2,46
,IC 62,12,2,47
,IC 76,13,2,34
,IC 77,12,2,40
,IC 87,12,2,38
,IC 90,12,2,90
,ICE,1,2,97
,ICE,3,2,65
,ICE,9,2,42
,ICE 10,12,2,59
,ICE 11,12,2,48
,ICE 12,12,2,2
,ICE 13,12,2,3
,ICE 14,12,2,91
,ICE 15,12,2,18
,ICE 16,12,2,19
,ICE 17,12,2,78
,ICE 18,12,2,79
,ICE 19,12,2,4
,ICE 20,12,2,11
,ICE 21,12,2,83
,ICE 22,12,2,66
,ICE 24,12,2,49
,ICE 25,12,2,80
,ICE 26,12,2,70
,ICE 28,12,2,81
,ICE 29,12,2,30
,ICE 32,12,2,50
,ICE 39,12,2,35
,ICE 4,12,2,39
,ICE 41,12,2,52
,ICE 42,12,2,5
,ICE 43,12,2,71
,ICE 45,12,2,84
,ICE 47,12,2,60
,ICE 49,12,2,72
,ICE 50,12,2,36
,ICE 60,12,2,12
,ICE 62,12,2,73
,ICE 77,12,2,67
,ICE 78,12,2,13
,ICE 79,12,2,55
,ICE 8,12,2,98
,ICE 82,12,2,6
,ICE 82,5,2,85
,ICE 83,12,2,14
,ICE 83,5,2,20
,ICE 89,12,2,92
,ICE 9,12,2,15
,ICE 91,12,2,7
,RJ,9,2,61
