trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1066778,14:00:00,14:00:00,549346,0,,,
1066778,14:20:00,14:22:00,458183,1,,,1
1066778,14:34:00,14:36:00,119296,2,,,1
1066778,15:00:00,15:02:00,18132,3,,,1
1066778,15:12:00,15:18:00,655127,4,,,1
1066778,15:51:00,15:51:00,231422,5,,,1
1079895,14:09:00,14:09:00,231422,0,,,
1079895,14:41:00,14:47:00,655127,1,,,
1079895,14:57:00,14:59:00,18132,2,,,
1079895,15:24:00,15:26:00,119296,3,,,
1079895,15:37:00,15:39:00,458183,4,,,
1079895,16:01:00,16:01:00,549346,5,,,
1111185,08:00:00,08:00:00,549346,0,,,
1111185,08:20:00,08:22:00,458183,1,,,1
1111185,08:34:00,08:36:00,119296,2,,,1
1111185,09:00:00,09:02:00,18132,3,,,1
1111185,09:12:00,09:18:00,655127,4,,,1
1111185,09:51:00,09:51:00,231422,5,,,1
1198339,10:09:00,10:09:00,231422,0,,,
1198339,10:41:00,10:47:00,655127,1,,,
1198339,10:57:00,10:59:00,18132,2,,,
1198339,11:24:00,11:26:00,119296,3,,,
1198339,11:37:00,11:39:00,458183,4,,,
1198339,11:59:00,11:59:00,549346,5,,,
1248554,12:09:00,12:09:00,231422,0,,,
1248554,12:41:00,12:47:00,655127,1,,,
1248554,12:57:00,12:59:00,18132,2,,,
1248554,13:24:00,13:26:00,119296,3,,,
1248554,13:37:00,13:39:00,458183,4,,,
1248554,14:01:00,14:01:00,549346,5,,,
1261614,18:09:00,18:09:00,231422,0,,,
1261614,18:41:00,18:47:00,655127,1,,,
1261614,18:57:00,18:59:00,18132,2,,,
1261614,19:24:00,19:26:00,119296,3,,,
1261614,19:37:00,19:39:00,458183,4,,,
1261614,20:01:00,20:01:00,549346,5,,,
1270974,10:00:00,10:00:00,549346,0,,,
1270974,10:20:00,10:22:00,458183,1,,,1
1270974,10:34:00,10:36:00,119296,2,,,1
1270974,11:00:00,11:02:00,18132,3,,,1
1270974,11:12:00,11:18:00,655127,4,,,1
1270974,11:51:00,11:51:00,231422,5,,,1
1277305,08:00:00,08:00:00,549346,0,,,
1277305,08:20:00,08:22:00,458183,1,,,1
1277305,08:33:00,08:36:00,119296,2,,,1
1277305,09:00:00,09:02:00,18132,3,,,1
1277305,09:12:00,09:18:00,655127,4,,,1
1277305,09:51:00,09:51:00,231422,5,,,1
1285120,08:09:00,08:09:00,231422,0,,,
1285120,08:41:00,08:47:00,655127,1,,,
1285120,08:57:00,08:59:00,18132,2,,,
1285120,09:24:00,09:26:00,119296,3,,,
1285120,09:37:00,09:39:00,458183,4,,,
1285120,10:00:00,10:00:00,549346,5,,,
1302042,10:00:00,10:00:00,549346,0,,,
1302042,10:20:00,10:22:00,458183,1,,,1
1302042,10:33:00,10:36:00,119296,2,,,1
1302042,11:00:00,11:02:00,18132,3,,,1
1302042,11:12:00,11:18:00,655127,4,,,1
1302042,11:51:00,11:51:00,231422,5,,,1
