stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Aachen Hbf,310279,469801,50.7678,6.091499,
Aachen Süd(Gr),,231397,50.731915,6.04541,1
Aachen Süd(Gr),231397,465414,50.731915,6.04541,
"Aachen, Hauptbahnhof",,310279,50.767723,6.092051,1
Aalen Hauptbahnhof,,371260,48.841602,10.096031,1
Aalen Hbf,371260,50912,48.841015,10.096271,
Altena(Westf),637605,99224,51.301983,7.668808,
"Altena, Bahnhof",,637605,51.301983,7.66881,1
Altenbeken,,207493,51.766434,8.943322,1
Altenbeken,207493,312027,51.766434,8.943319,
Amersfoort Centraal,,159573,52.153465,5.373909,1
Amersfoort Centraal,159573,119296,52.153465,5.373909,
Amsterdam Centraal,,455155,52.37919,4.899431,1
Amsterdam Centraal,455155,549346,52.37919,4.899431,
Amstetten NÖ,,20503,48.121605,14.878112,1
Amstetten NÖ,20503,378363,48.121605,14.878112,
Andernach,374110,34438,50.434544,7.404839,
Andernach Bahnhof,,374110,50.434544,7.40484,1
Angermünde,74641,266773,53.01574,13.995672,
Angermünde,74641,401941,53.015793,13.995908,
"Angermünde, Bahnhof",,74641,53.015823,13.995871,1
Anklam,,60884,53.855984,13.701563,1
Anklam,60884,48075,53.856102,13.701827,
Ansbach,,70805,49.29803,10.578246,1
Ansbach,70805,100327,49.29803,10.578239,
Apeldoorn,,237140,52.20943,5.968491,1
Apeldoorn,237140,18132,52.20943,5.968491,
Apolda,,257907,51.03094,11.526136,1
Apolda,257907,434434,51.03094,11.526136,
Arnhem Centraal,,482920,51.98478,5.901003,1
Arnhem Centraal,482920,274947,51.98478,5.901003,
Aschaffenburg Hbf,,273103,49.980556,9.1437,1
Aschaffenburg Hbf,273103,147159,49.980556,9.143697,
Attnang-Puchheim,,382464,48.012802,13.720719,1
Attnang-Puchheim,382464,412532,48.012802,13.720719,
Augsburg Hbf,,518071,48.36544,10.885569,1
Augsburg Hbf,518071,92328,48.36544,10.88557,
Augustfehn,,117150,53.220894,7.759622,1
Augustfehn,117150,513264,53.220844,7.75963,
Bad Bentheim,,647694,52.30985,7.158539,1
Bad Bentheim,647694,558139,52.30985,7.158539,
Bad Bentheim(Gr),,577545,52.3091,7.04016,1
Bad Bentheim(Gr),577545,67557,52.3091,7.04016,
Bad Bevensen,,411062,53.078247,10.574141,1
Bad Bevensen,411062,616507,53.07822,10.574081,
Bad Endorf,,199021,47.904766,12.302122,1
Bad Endorf,199021,658326,47.905067,12.301558,
Bad Gastein,,207609,47.111774,13.131945,1
Bad Gastein,207609,514466,47.111774,13.131945,
Bad Hersfeld,,672123,50.869766,9.716581,1
Bad Hersfeld,672123,210931,50.869766,9.716581,
Bad Hofgastein,,4632,47.195713,13.100939,1
Bad Hofgastein,4632,306827,47.195713,13.100939,
Bad Kleinen,232850,83855,53.766975,11.466925,
Bad Kleinen Bhf,,232850,53.76746,11.466429,1
Bad Nauheim,114277,150149,50.367905,8.749334,
Bad Nauheim Bahnhof,,114277,50.367798,8.748327,1
Bad Oeynhausen,559915,220750,52.2054,8.796523,
"Bad Oeynhausen, Bf/ZOB",,559915,52.2054,8.796519,1
Bad Schandau,424255,355660,50.91929,14.137538,
Bad Schandau Nationalparkbahnhof,,424255,50.91927,14.138099,1
Bad Zwischenahn,,336746,53.182568,8.002996,1
Bad Zwischenahn,336746,551141,53.18242,8.003398,
Baden(CH),,214288,47.476425,8.307709,1
Baden(CH),214288,255954,47.476425,8.307709,
Baden-Baden,,295844,48.7902,8.191036,1
Baden-Baden,295844,344468,48.790325,8.190831,
Bamberg,,395172,49.90076,10.899484,1
Bamberg,395172,465336,49.90076,10.899489,
Basel Bad Bf,,3598,47.567287,7.607805,1
Basel Bad Bf,3598,269224,47.567287,7.607805,
Basel SBB,,61790,47.547405,7.589551,1
Basel SBB,61790,96772,47.547405,7.589551,
Bebra,,663674,50.969566,9.797788,1
Bebra,663674,167787,50.969566,9.797788,
Bensheim,482340,511412,49.681328,8.616717,
"Bensheim, Bahnhof",,482340,49.681805,8.616955,1
Bergen Bahnhof,,332624,54.420822,13.418737,1
Bergen auf Rügen,332624,653698,54.4205,13.417821,
Berlin Gesundbrunnen,556913,133931,52.548485,13.390691,
Berlin Gesundbrunnen,556913,137698,52.548794,13.3904,
