Variable,Sector,Year,Female,Male,Total
WZ08-A,"Agriculture, forestry and fishing",2009,220000,428000,648000
WZ08-A,"Agriculture, forestry and fishing",2010,214000,423000,637000
WZ08-A,"Agriculture, forestry and fishing",2011,213000,426000,639000
WZ08-A,"Agriculture, forestry and fishing",2012,200000,413000,612000
WZ08-A,"Agriculture, forestry and fishing",2013,186000,387000,573000
WZ08-A,"Agriculture, forestry and fishing",2014,188000,383000,571000
WZ08-A,"Agriculture, forestry and fishing",2015,180000,382000,562000
WZ08-A,"Agriculture, forestry and fishing",2016,171000,369000,540000
WZ08-A,"Agriculture, forestry and fishing",2017,171000,361000,532000
WZ08-A,"Agriculture, forestry and fishing",2018,165000,358000,523000
WZ08-A,"Agriculture, forestry and fishing",2019,165000,346000,510000
WZ08-B,Mining and quarrying,2009,13000,91000,104000
WZ08-B,Mining and quarrying,2010,11000,85000,96000
WZ08-B,Mining and quarrying,2011,11000,86000,97000
WZ08-B,Mining and quarrying,2012,9000,84000,93000
WZ08-B,Mining and quarrying,2013,10000,74000,83000
WZ08-B,Mining and quarrying,2014,11000,77000,88000
WZ08-B,Mining and quarrying,2015,10000,72000,82000
WZ08-B,Mining and quarrying,2016,12000,73000,85000
WZ08-B,Mining and quarrying,2017,11000,68000,79000
WZ08-B,Mining and quarrying,2018,9000,63000,72000
WZ08-B,Mining and quarrying,2019,11000,57000,68000
WZ08-C,Manufacturing,2009,2114000,5737000,7851000
WZ08-C,Manufacturing,2010,2094000,5658000,7752000
WZ08-C,Manufacturing,2011,2095000,5602000,7698000
WZ08-C,Manufacturing,2012,2099000,5618000,7717000
WZ08-C,Manufacturing,2013,2099000,5553000,7652000
WZ08-C,Manufacturing,2014,2138000,5674000,7812000
WZ08-C,Manufacturing,2015,2108000,5653000,7761000
WZ08-C,Manufacturing,2016,2143000,5761000,7905000
WZ08-C,Manufacturing,2017,2149000,5778000,7927000
WZ08-C,Manufacturing,2018,2191000,5800000,7991000
WZ08-C,Manufacturing,2019,2179000,5831000,8010000
WZ08-D,"Electricity, gas, steam, air conditioning supply",2009,83000,253000,335000
WZ08-D,"Electricity, gas, steam, air conditioning supply",2010,85000,265000,350000
WZ08-D,"Electricity, gas, steam, air conditioning supply",2011,87000,275000,362000
WZ08-D,"Electricity, gas, steam, air conditioning supply",2012,91000,285000,377000
WZ08-D,"Electricity, gas, steam, air conditioning supply",2013,92000,262000,354000
