Tabelle: 12211-9008
Persons in employment: Germany, years (until 2019), economic;;;;;;;;;;;;;
sections (WZ2008), sex;;;;;;;;;;;;;
Microcensus;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;
Persons in employment (1000);;;;;;;;;;;;;;;;;;;;;;;;
;;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;
WZ08-A;Agriculture, forestry and fishing;Male;428;e;423;e;426;e;413;e;387;e;383;e;382;e;369;e;361;e;358;e;346;e
;;Female;220;e;214;e;213;e;200;e;186;e;188;e;180;e;171;e;171;e;165;e;165;e
;;Total;648;e;637;e;639;e;612;e;573;e;571;e;562;e;540;e;532;e;523;e;510;e
WZ08-B;Mining and quarrying;Male;91;e;85;e;86;e;84;e;74;e;77;e;72;e;73;e;68;e;63;e;57;e
;;Female;13;e;11;e;11;e;9;e;10;e;11;e;10;e;12;e;11;e;9;e;11;e
;;Total;104;e;96;e;97;e;93;e;83;e;88;e;82;e;85;e;79;e;72;e;68;e
WZ08-C;Manufacturing;Male;5737;e;5658;e;5602;e;5618;e;5553;e;5674;e;5653;e;5761;e;5778;e;5800;e;5831;e
;;Female;2114;e;2094;e;2095;e;2099;e;2099;e;2138;e;2108;e;2143;e;2149;e;2191;e;2179;e
;;Total;7851;e;7752;e;7698;e;7717;e;7652;e;7812;e;7761;e;7905;e;7927;e;7991;e;8010;e
WZ08-D;Electricity, gas, steam, air conditioning supply;Male;253;e;265;e;275;e;285;e;262;e;245;e;250;e;243;e;238;e;235;e;235;e
;;Female;83;e;85;e;87;e;91;e;92;e;90;e;91;e;80;e;85;e;85;e;92;e
;;Total;335;e;350;e;362;e;377;e;354;e;335;e;341;e;323;e;323;e;321;e;327;e
WZ08-E;Water supply,sewerage,waste management,remediation;Male;180;e;168;e;178;e;177;e;171;e;184;e;189;e;183;e;200;e;202;e;207;e
;;Female;45;e;43;e;44;e;43;e;39;e;37;e;38;e;46;e;47;e;48;e;50;e
;;Total;225;e;211;e;222;e;220;e;210;e;221;e;227;e;229;e;246;e;250;e;257;e
WZ08-F;Construction;Male;2243;e;2253;e;2248;e;2292;e;2339;e;2369;e;2364;e;2390;e;2447;e;2432;e;2437;e
;;Female;324;e;334;e;329;e;332;e;346;e;363;e;359;e;369;e;388;e;389;e;421;e
;;Total;2567;e;2587;e;2578;e;2624;e;2686;e;2732;e;2723;e;2758;e;2836;e;2821;e;2857;e
WZ08-G;Wholesale, retail trade, repair of motor vehicles;Male;2437;e;2473;e;2440;e;2472;e;2809;e;2738;e;2765;e;2865;e;2894;e;2938;e;2929;e
;;Female;2762;e;2794;e;2793;e;2743;e;2874;e;2876;e;2906;e;2957;e;2927;e;2898;e;2849;e
;;Total;5199;e;5267;e;5233;e;5215;e;5683;e;5614;e;5671;e;5823;e;5821;e;5836;e;5778;e
WZ08-H;Transportation and storage;Male;1369;e;1365;e;1377;e;1408;e;1431;e;1439;e;1471;e;1513;e;1560;e;1589;e;1614;e
;;Female;451;e;455;e;458;e;461;e;483;e;485;e;487;e;504;e;522;e;527;e;527;e
;;Total;1821;e;1820;e;1835;e;1870;e;1914;e;1924;e;1958;e;2017;e;2082;e;2116;e;2141;e
WZ08-I;Accommodation and food service activities;Male;620;e;630;e;607;e;630;e;633;e;656;e;665;e;694;e;691;e;702;e;720;e
