Measurement Date,Daily rainfall (mm),Sunshine duration daily total (hours),Snow depth daily value (cm),Daily mean air pressure (hPa),Daily average temperature (C),Daily mean relative humidity (%),Daily maximum air temperature at 2m height (C),Daily minimum air temperature at 2m height (C)
1950-01-01,0.0,8.0,190.0,709.5,-9.4,24.0,-7.9,-10.6
1950-01-02,7.0,1.2,180.0,707.0,-9.6,77.0,-7.4,-10.6
1950-01-03,16.1,0.0,200.0,695.8,-13.6,96.0,-9.0,-15.0
1950-01-04,38.0,0.0,220.0,693.5,-14.9,95.0,-14.7,-15.0
1950-01-05,8.5,0.2,270.0,696.9,-11.6,96.0,-10.8,-15.0
1950-01-06,8.2,0.0,280.0,700.6,-10.6,83.0,-9.2,-12.0
1950-01-07,0.0,6.9,280.0,705.7,-10.5,72.0,-9.4,-13.0
1950-01-08,0.0,7.3,260.0,711.1,-3.5,27.0,-1.4,-10.0
1950-01-09,0.0,0.9,250.0,709.1,-4.1,33.0,-1.0,-5.3
1950-01-10,0.1,2.8,240.0,712.3,-7.2,75.0,-5.3,-9.0
1950-01-11,33.0,0.0,230.0,713.4,-8.2,94.0,-5.7,-8.9
1950-01-12,21.0,0.0,270.0,714.1,-8.3,94.0,-4.8,-9.6
1950-01-13,0.0,7.7,290.0,713.7,-8.4,45.0,-6.3,-13.4
1950-01-14,0.1,0.3,280.0,713.0,-6.8,55.0,-6.2,-7.2
1950-01-15,0.0,2.1,270.0,711.3,-7.0,90.0,-6.6,-7.6
1950-01-16,9.2,2.0,265.0,701.0,-9.8,85.0,-5.8,-10.8
1950-01-17,23.7,0.0,280.0,694.6,-16.2,95.0,-10.8,-16.9
1950-01-18,16.8,0.0,360.0,697.5,-17.4,94.0,-15.6,-18.4
1950-01-19,0.0,7.6,380.0,696.3,-15.0,81.0,-13.0,-18.6
1950-01-20,0.0,4.2,360.0,700.2,-9.5,79.0,-8.8,-13.0
1950-01-21,0.0,6.9,360.0,704.6,-9.6,53.0,-9.0,-10.4
1950-01-22,0.0,5.3,350.0,703.5,-12.3,92.0,-9.4,-13.0
1950-01-23,0.0,8.6,340.0,697.3,-17.4,53.0,-13.0,-18.5
1950-01-24,0.0,8.4,330.0,695.9,-16.9,58.0,-15.8,-19.8
1950-01-25,0.0,5.5,325.0,703.0,-11.5,54.0,-10.2,-15.8
1950-01-26,0.0,1.1,320.0,705.4,-10.0,63.0,-8.6,-11.5
1950-01-27,1.5,4.3,320.0,703.9,-11.4,72.0,-8.4,-12.8
1950-01-28,0.7,0.8,320.0,695.9,-13.3,89.0,-12.0,-14.2
1950-01-29,0.3,1.4,320.0,695.4,-14.1,80.0,-11.6,-15.0
1950-01-30,0.0,7.9,320.0,699.4,-14.6,72.0,-13.4,-16.6
1950-01-31,0.0,0.1,320.0,704.1,-7.8,59.0,-6.3,-13.7
1950-02-01,1.6,0.0,310.0,702.5,-11.0,96.0,-6.3,-11.9
1950-02-02,0.0,3.7,300.0,706.3,-4.9,40.0,-3.0,-13.4
1950-02-03,0.0,6.6,280.0,708.2,-1.4,21.0,0.8,-4.3
1950-02-04,0.0,8.1,270.0,705.0,-2.6,46.0,-1.4,-4.6
1950-02-05,0.0,9.5,260.0,700.7,-6.7,75.0,-2.8,-7.5
1950-02-06,1.2,1.5,250.0,695.4,-9.1,80.0,-6.4,-9.7
1950-02-07,7.4,0.0,240.0,700.2,-14.4,90.0,-9.7,-15.8
1950-02-08,8.3,3.5,250.0,698.7,-11.3,73.0,-7.6,-15.8
1950-02-09,36.6,2.6,280.0,695.7,-14.8,75.0,-12.5,-17.4
1950-02-10,12.5,0.0,320.0,698.2,-7.0,95.0,-6.0,-12.5
1950-02-11,9.1,1.0,340.0,696.2,-8.1,88.0,-5.2,-9.7
1950-02-12,2.3,0.3,340.0,694.9,-14.1,95.0,-9.7,-14.8
1950-02-13,8.4,2.1,330.0,694.7,-8.4,63.0,-6.9,-13.8
1950-02-14,10.3,0.0,330.0,695.0,-14.6,97.0,-8.5,-16.4
1950-02-15,7.3,0.0,340.0,708.7,-10.2,76.0,-7.2,-18.2
1950-02-16,0.0,9.7,340.0,719.4,-4.6,39.0,-3.7,-7.9
1950-02-17,0.0,10.3,330.0,722.9,1.8,21.0,3.9,-3.7
1950-02-18,0.0,10.3,310.0,719.0,1.3,25.0,4.2,0.4
1950-02-19,0.0,10.2,300.0,713.3,-2.7,35.0,0.9,-3.7
1950-02-20,2.5,2.0,300.0,703.7,-5.2,55.0,-1.6,-7.5
1950-02-21,23.5,0.0,290.0,697.7,-11.2,96.0,-7.5,-12.7
1950-02-22,0.9,9.7,330.0,704.5,-13.2,68.0,-10.7,-16.6
1950-02-23,3.6,8.2,320.0,705.1,-5.9,26.0,-4.7,-10.7
1950-02-24,7.4,0.0,320.0,699.7,-9.5,95.0,-6.7,-13.0
1950-02-25,0.0,4.4,320.0,692.3,-8.4,67.0,-5.8,-9.8
1950-02-26,8.9,1.1,300.0,683.1,-12.0,94.0,-8.2,-15.6
1950-02-27,2.4,0.0,310.0,690.1,-18.9,94.0,-15.6,-20.4
1950-02-28,0.0,9.6,310.0,692.7,-13.1,71.0,-11.0,-19.2
1950-03-01,0.0,4.0,300.0,695.0,-13.6,73.0,-12.2,-14.0
1950-03-02,0.0,8.8,300.0,701.7,-12.2,79.0,-10.0,-15.0
1950-03-03,0.0,8.9,290.0,707.0,-11.0,77.0,-9.6,-12.2
1950-03-04,5.5,7.1,290.0,709.4,-10.0,67.0,-8.4,-11.1
1950-03-05,0.0,10.7,305.0,712.9,-10.0,68.0,-8.0,-13.6
1950-03-06,0.0,9.7,300.0,719.0,-2.4,50.0,-1.3,-8.0
1950-03-07,0.0,10.5,290.0,721.0,-0.7,33.0,-0.1,-1.5
1950-03-08,0.0,10.5,280.0,715.3,-3.1,44.0,-0.7,-4.0
1950-03-09,0.0,10.8,280.0,707.5,-7.0,62.0,-4.0,-7.4
1950-03-10,8.4,3.4,280.0,699.8,-11.8,82.0,-7.2,-14.0
1950-03-11,1.0,8.8,295.0,700.2,-12.0,79.0,-11.2,-14.8
1950-03-12,1.0,8.1,285.0,696.5,-13.3,80.0,-9.8,-14.0
1950-03-13,0.6,1.3,290.0,698.1,-13.6,91.0,-12.0,-14.6
1950-03-14,0.0,10.6,295.0,702.2,-10.0,59.0,-8.5,-14.4
1950-03-15,0.0,6.3,290.0,706.7,-7.7,55.0,-5.8,-9.9
1950-03-16,0.0,8.6,280.0,708.6,-4.3,57.0,-0.5,-7.0
1950-03-17,0.0,8.5,270.0,710.9,-2.4,40.0,-0.5,-6.4
1950-03-18,0.0,10.3,270.0,712.3,-4.5,36.0,-2.0,-10.0
1950-03-19,0.9,5.5,260.0,706.9,-5.0,71.0,-2.0,-6.1
1950-03-20,8.5,2.7,260.0,707.0,-5.6,86.0,-3.5,-6.5
1950-03-21,15.6,0.0,275.0,703.3,-7.4,95.0,-5.0,-8.3
1950-03-22,3.3,1.8,290.0,708.9,-7.9,97.0,-5.8,-8.8
